;Name;Worldwide;Domestic;MovieType;Duration;Year;Country;Director;Continent
749;Music and Lyrics;145896422;50572589;Komedi;105;2007;ABD;Marc Lawrence (i);ABD
750;Blades of Glory;145710347;118594548;Komedi;93;2007;ABD;Josh Gordon;ABD
751;Bridge to Terabithia;137587063;82272442;Aile;96;2007;ABD;Gabor Csupo;ABD
752;Stardust;137515140;38634938;Aile;127;2007;Multi Nation;Matthew Vaughn;Multi Nation
753;1408;132963417;71985628;Gerilim;104;2007;ABD;Mikael Håfström;ABD
754;Atonement;131016624;50927067;Dram;123;2007;Multi Nation;Joe Wright;Multi Nation
755;Aliens vs. Predator: Requiem;130290885;41797066;Bilim Kurgu;94;2007;ABD;Colin Strause;ABD
756;The Heartbreak Kid;128453183;36787257;Komedi;116;2007;ABD;Bobby Farrelly;ABD
757;Charlie Wilson's War;119483446;66661095;Dram;102;2007;ABD;Mike Nichols;ABD
758;Disturbia;118114220;80209692;Dram;105;2007;ABD;D.J. Caruso;ABD
759;Hitman;101276318;39687694;Aksiyon;100;2007;Multi Nation;Xavier Gens;Multi Nation
760;TMNT;95797812;54149098;Animasyon;87;2007;Multi Nation;Kevin Munroe;Multi Nation
761;Shooter;95696996;47003582;Aksiyon;124;2007;ABD;Antoine Fuqua;ABD
762;Michael Clayton;92991835;49033882;Dram;120;2007;ABD;Tony Gilroy;ABD
763;No Reservations;92601050;43107979;Dram;104;2007;Multi Nation;Scott Hicks;Multi Nation
764;Fracture;92011561;39015018;Gerilim;113;2007;Multi Nation;Gregory Hoblit;Multi Nation
765;Epic Movie;87238158;39739367;Aksiyon;85;2007;ABD;David Zucker;ABD
766;The Kingdom;87019158;47536778;Aksiyon;110;2007;Multi Nation;Peter Berg;Multi Nation
767;Zodiac;84785914;33080084;Dram;157;2007;ABD;David Fincher;ABD
768;Premonition;84146832;47852604;Dram;96;2007;ABD;Mennan Yapo;ABD
769;Hannibal Rising;82169884;27670986;Dram;121;2007;Multi Nation;Peter Webber;Multi Nation
770;Hot Fuzz;80743363;23637265;Aksiyon;121;2007;Multi Nation;Edgar Wright;Multi Nation
771;The Number 23;77677553;35193167;Gerilim;98;2007;Multi Nation;Joel Schumacher;Multi Nation
772;Next;77621983;18211013;Bilim Kurgu;96;2007;ABD;Lee Tamahori;ABD
773;There Will Be Blood;76181545;40222514;Dram;158;2007;ABD;Paul Thomas Anderson;ABD
774;Elizabeth: The Golden Age;75782758;16383509;Dram;114;2007;Multi Nation;Shekhar Kapur;Multi Nation
775;Dragon Wars: D-War;75108817;10977721;Bilim Kurgu;90;2007;Güney Kore;Shim Hyung-rae;Asia
776;The Kite Runner;75011029;15800078;Dram;128;2007;Multi Nation;Marc Forster;Multi Nation
777;Perfect Stranger;73534117;23984949;Gerilim;109;2007;ABD;James Foley;ABD
778;License to Wed;70181325;43799818;Komedi;91;2007;Multi Nation;Ken Kwapis;Multi Nation
779;The Brave One;69787394;36793804;Dram;122;2007;ABD;Neil Jordan;ABD
780;Because I Said So;69485490;42674040;Komedi;102;2007;ABD;Michael Lehmann;ABD
781;Mr. Magorium's Wonder Emporium;69474661;32061555;Aile;93;2007;Multi Nation;Zach Helm;Multi Nation
782;August Rush;66122026;31664162;Aile;114;2007;ABD;Kirsten Sheridan;ABD
783;Underdog;65270477;43760605;Bilim Kurgu;81;2007;ABD;Frederik Du Chau;ABD
784;28 Weeks Later;65048678;28638916;Bilim Kurgu;100;2007;Multi Nation;Juan Carlos Fresnadillo;Multi Nation
785;The Reaping;62771059;25126214;Korku;99;2007;ABD;Stephen Hopkins;ABD
786;Good Luck Chuck;59768495;35017297;Komedi;101;2007;Multi Nation;Mark Helfrich;Multi Nation
