;Name;Avg Rating;Movie Type;Director;Rate Count;Watch Count;Fav;Duration;Made In
1755;;7.2;Bilim Kurgu;Justin Kurzel;496;700 kullan?c? Assassin's Creed filmini izledi;389 kullan?c?n?n favori filmi;115dk;"2016 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1759;;7.3;Bilim Kurgu;K?vanç Baruönü;1881;1245 kullan?c? Arif v 216 filmini izledi;388 kullan?c?n?n favori filmi;126dk;"2018 -
                            

                                                                                                                                                                                                            Türkiye"
1761;;7.7;Aile;Sandra Goldbacher;353;133 kullan?c? Ballet Shoes filmini izledi;388 kullan?c?n?n favori filmi;85dk;"2007 -
                            

                                                                                                                                                                                                            ?ngiltere"
1768;;7.7;Dram;Cameron Crowe;364;330 kullan?c? Elizabethtown filmini izledi;386 kullan?c?n?n favori filmi;123dk;"2005 -
                            

                                                                                                                                                                                                            ABD"
1770;;8.1;Komedi;Ata Demirer;525;980 kullan?c? Tek Ki?ilik Dev Kadro filmini izledi;385 kullan?c?n?n favori filmi;105dk;"2006 -
                            

                                                                                                                                                                                                            Türkiye"
1771;;7.5;Bilim Kurgu;Hulki Saner;601;726 kullan?c? Turist Ömer Uzay Yolunda filmini izledi;385 kullan?c?n?n favori filmi;72dk;"1973 -
                            

                                                                                                                                                                                                            Türkiye"
1773;;8.3;Dram;Garth Davis;368;653 kullan?c? Lion filmini izledi;384 kullan?c?n?n favori filmi;118dk;"2016 -
                            

                                                                                                                                                                                                            Avustralya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1774;;5.9;Dram;Ye?im Sezgin;920;957 kullan?c? Çanakkale 1915 filmini izledi;384 kullan?c?n?n favori filmi;128dk;"2012 -
                            

                                                                                                                                                                                                            Türkiye"
1785;;8.2;Bilim Kurgu;Paul Verhoeven;432;580 kullan?c? Robocop filmini izledi;382 kullan?c?n?n favori filmi;102dk;"1987 -
                            

                                                                                                                                                                                                            ABD"
1789;;7.4;Aksiyon;Tony Scott;431;229 kullan?c? Domino filmini izledi;381 kullan?c?n?n favori filmi;127dk;"2005 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1794;;8.3;Dram;John Carney;308;411 kullan?c? Once filmini izledi;379 kullan?c?n?n favori filmi;86dk;"2007 -
                            

                                                                                                                                                                                                            ?rlanda"
1806;;7.0;Aksiyon;Jimmy Hayward;579;663 kullan?c? Jonah Hex filmini izledi;376 kullan?c?n?n favori filmi;81dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
1810;;6.7;Dram;Tuna Kiremitçi;628;424 kullan?c? Ad?n? Sen Koy filmini izledi;375 kullan?c?n?n favori filmi;93dk;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
1813;;8.6;Aksiyon;Kevin Tancharoen;342;127 kullan?c? Mortal Kombat: Rebirth filmini izledi;375 kullan?c?n?n favori filmi;8dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
1815;;7.2;Bilim Kurgu;José Padilha;664;964 kullan?c? RoboCop filmini izledi;374 kullan?c?n?n favori filmi;117dk;"2014 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 ABD"
1816;;8.3;Dram;Murat Saraço?lu;531;495 kullan?c? Deli Deli Olma filmini izledi;374 kullan?c?n?n favori filmi;100dk;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
1817;;8.3;Aile;Memduh Ün;611;902 kullan?c? Garip filmini izledi;374 kullan?c?n?n favori filmi;96dk;"1986 -
                            

                                                                                                                                                                                                            Türkiye"
1822;;8.7;Komedi;Ömer Faruk Sorak;458;678 kullan?c? Bir Tat Bir Doku filmini izledi;372 kullan?c?n?n favori filmi;235dk;"2000 -
                            

                                                                                                                                                                                                            Türkiye"
1832;;8.2;Dram;Steven Spielberg;357;335 kullan?c? Amistad filmini izledi;371 kullan?c?n?n favori filmi;155dk;"1997 -
                            

                                                                                                                                                                                                            ABD"
1835;;7.7;Dram;"Glenn Ficarra
                                        ,                                                                                                                     John Requa";494;455 kullan?c? I Love You Phillip Morris filmini izledi;370 kullan?c?n?n favori filmi;98dk;"2009 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ABD"
1839;;7.6;Dram;Oliver Parker;392;364 kullan?c? Dorian Gray filmini izledi;369 kullan?c?n?n favori filmi;112dk;"2009 -
                            

                                                                                                                                                                                                            ?ngiltere"
1845;;8.7;Dram;Yavuz Turgul;451;513 kullan?c? Muhsin Bey filmini izledi;368 kullan?c?n?n favori filmi;120dk;"1987 -
                            

                                                                                                                                                                                                            Türkiye"
1864;;5.8;Dram;U?ur Yücel;1155;1356 kullan?c? Benim Dünyam filmini izledi;360 kullan?c?n?n favori filmi;108dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye"
1869;;6.8;Dram;"Kemal Uzun
                                        ,                                                                                                                     Serdar Akar";794;944 kullan?c? Çanakkale: Yolun Sonu filmini izledi;359 kullan?c?n?n favori filmi;102dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye"
1870;;6.6;Dram;Sinan Çetin;499;329 kullan?c? Ka??t filmini izledi;359 kullan?c?n?n favori filmi;105dk;"2010 -
                            

                                                                                                                                                                                                            Türkiye"
1881;;7.3;Dram;Biray Dalk?ran;479;377 kullan?c? Cennet filmini izledi;357 kullan?c?n?n favori filmi;122dk;"2008 -
                            

                                                                                                                                                                                                            Türkiye"
1883;;8.5;Dram;Farhan Akhtar;446;800 kullan?c? Dil Chahta Hai filmini izledi;356 kullan?c?n?n favori filmi;183dk;"2001 -
                            

                                                                                                                                                                                                            Hindistan"
1889;;8.0;Dram;Steve Antin;321;277 kullan?c? Burlesque filmini izledi;355 kullan?c?n?n favori filmi;119dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
1895;;7.6;Gerilim;Rupert Wainwright;373;356 kullan?c? Stigmata filmini izledi;355 kullan?c?n?n favori filmi;103dk;"1999 -
                            

                                                                                                                                                                                                            ABD"
1899;;7.3;Dram;Neco Çelik;480;310 kullan?c? K?s?k Ate?te 15 Dakika filmini izledi;354 kullan?c?n?n favori filmi;90dk;"2006 -
                            

                                                                                                                                                                                                            Türkiye"
1900;;7.5;Dram;Kartal Tibet;649;910 kullan?c? Gülen Adam filmini izledi;353 kullan?c?n?n favori filmi;91dk;"1990 -
                            

                                                                                                                                                                                                            Türkiye"
1901;;8.0;Aksiyon;Justin Lin;356;243 kullan?c? Annapolis filmini izledi;353 kullan?c?n?n favori filmi;108dk;"2006 -
                            

                                                                                                                                                                                                            ABD"
1902;;8.0;Dram;Y?lmaz Güney;363;290 kullan?c? Duvar filmini izledi;353 kullan?c?n?n favori filmi;117dk;"1983 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 Türkiye"
1905;;8.1;Dram;Nuri Bilge Ceylan;1278;417 kullan?c? Uzak filmini izledi;352 kullan?c?n?n favori filmi;110dk;"2002 -
                            

                                                                                                                                                                                                            Türkiye"
1907;;8.0;Dram;Rob Marshall;364;331 kullan?c? Chicago filmini izledi;352 kullan?c?n?n favori filmi;113dk;"2002 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 Kanada
                                                                         ,                                                                                                                                                 ABD"
1909;;7.0;Dram;Semih Kaplano?lu;547;365 kullan?c? Yumurta filmini izledi;352 kullan?c?n?n favori filmi;97dk;"2007 -
                            

                                                                                                                                                                                                            Türkiye
                                                                         ,                                                                                                                                                 Yunanistan"
1911;;7.3;Dram;Steven Spielberg;548;780 kullan?c? Lincoln filmini izledi;351 kullan?c?n?n favori filmi;150dk;"2012 -
                            

                                                                                                                                                                                                            Hindistan
                                                                         ,                                                                                                                                                 ABD"
1912;;8.2;Dram;Ömer Varg?;547;638 kullan?c? ?n?aat filmini izledi;351 kullan?c?n?n favori filmi;113dk;"2003 -
                            

                                                                                                                                                                                                            Türkiye"
1915;;7.8;Dram;Jon Kasdan;339;210 kullan?c? In the Land of Women filmini izledi;351 kullan?c?n?n favori filmi;97dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
1920;;8.4;Komedi;Kartal Tibet;620;995 kullan?c? Orta Direk ?aban filmini izledi;350 kullan?c?n?n favori filmi;82dk;"1984 -
                            

                                                                                                                                                                                                            Türkiye"
1932;;7.5;Dram;Gela Babluani;499;564 kullan?c? 13 filmini izledi;346 kullan?c?n?n favori filmi;91dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
1935;;7.5;Dram;Ça?an Irmak;692;1045 kullan?c? Tamam m?y?z? filmini izledi;345 kullan?c?n?n favori filmi;92dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye"
1938;;8.1;Dram;Ömer U?ur;410;330 kullan?c? Eve Dönü? filmini izledi;345 kullan?c?n?n favori filmi;101dk;"2006 -
                            

                                                                                                                                                                                                            Türkiye"
1940;;7.9;Komedi;Osman F. Seden;589;1051 kullan?c? ?nek ?aban filmini izledi;344 kullan?c?n?n favori filmi;71dk;"1978 -
                            

                                                                                                                                                                                                            Türkiye"
1946;;8.3;Dram;Ingmar Bergman;292;415 kullan?c? Persona filmini izledi;343 kullan?c?n?n favori filmi;85dk;"1966 -
                            

                                                                                                                                                                                                            ?sveç"
1947;;5.8;Komedi;Adem K?l?ç;1027;1836 kullan?c? Sümela'n?n ?ifresi Temel filmini izledi;342 kullan?c?n?n favori filmi;90dk;"2011 -
                            

                                                                                                                                                                                                            Türkiye"
1954;;7.5;Komedi;Selçuk Aydemir;1035;1080 kullan?c? Dü?ün Dernek 2: Sünnet filmini izledi;340 kullan?c?n?n favori filmi;112dk;"2015 -
                            

                                                                                                                                                                                                            Türkiye"
1966;;7.6;Dram;Tom Hanks;434;505 kullan?c? Larry Crowne filmini izledi;337 kullan?c?n?n favori filmi;98dk;"2011 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ABD"
1969;;8.1;Aksiyon;David Leitch;550;927 kullan?c? Deadpool 2 filmini izledi;336 kullan?c?n?n favori filmi;120dk;"2018 -
                            

                                                                                                                                                                                                            ABD"
1976;;6.3;Korku;"Henry Joost
                                        ,                                                                                                                     Ariel Schulman";655;911 kullan?c? Paranormal Activity 4 filmini izledi;335 kullan?c?n?n favori filmi;87dk;"2012 -
                            

                                                                                                                                                                                                            ABD"
1977;;7.9;Dram;Cary Fukunaga;360;572 kullan?c? Jane Eyre filmini izledi;335 kullan?c?n?n favori filmi;120dk;"2011 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1980;;8.1;Aksiyon;Onur Ünlü;705;712 kullan?c? ?tiraz?m Var filmini izledi;334 kullan?c?n?n favori filmi;110dk;"2014 -
                            

                                                                                                                                                                                                            Türkiye"
1983;;8.1;Dram;Richard Attenborough;307;242 kullan?c? Chaplin filmini izledi;334 kullan?c?n?n favori filmi;143dk;"1992 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ?talya
                                                                         ,                                                                                                                                                 Japonya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1984;;7.7;Aksiyon;Hakan Yonat;597;981 kullan?c? Sadece Sen filmini izledi;333 kullan?c?n?n favori filmi;105dk;"2014 -
                            

                                                                                                                                                                                                            Türkiye"
1985;;6.2;Dram;Leyla Y?lmaz;579;747 kullan?c? Bir Avuç Deniz filmini izledi;333 kullan?c?n?n favori filmi;109dk;"2011 -
                            

                                                                                                                                                                                                            Türkiye"
1986;;7.5;Komedi;Erdal Murat Akta?;596;427 kullan?c? Kirpi filmini izledi;333 kullan?c?n?n favori filmi;100dk;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
1990;;8.7;Dram;Ertem E?ilmez;476;640 kullan?c? Namuslu filmini izledi;332 kullan?c?n?n favori filmi;92dk;"1984 -
                            

                                                                                                                                                                                                            Türkiye"
1995;;7.0;Gerilim;;555;396 kullan?c? Ses filmini izledi;331 kullan?c?n?n favori filmi;97dk;"2010 -
                            

                                                                                                                                                                                                            Türkiye"
1996;;7.7;Dram;Ça?an Irmak;440;332 kullan?c? Karanl?ktakiler filmini izledi;331 kullan?c?n?n favori filmi;;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
2000;;7.4;Bilim Kurgu;Alex Garland;508;1050 kullan?c? Ex Machina filmini izledi;330 kullan?c?n?n favori filmi;108dk;"2014 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
2003;;7.6;Aksiyon;Erhan Kozan;569;363 kullan?c? Çakal filmini izledi;329 kullan?c?n?n favori filmi;90dk;"2010 -
                            

                                                                                                                                                                                                            Türkiye"
2005;;7.2;Dram;Cansel Elçin;465;293 kullan?c? Kampüste Ç?plak Ayaklar filmini izledi;329 kullan?c?n?n favori filmi;;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
2008;;8.2;Aksiyon;Richard Donner;364;307 kullan?c? Maverick filmini izledi;329 kullan?c?n?n favori filmi;127dk;"1994 -
                            

                                                                                                                                                                                                            ABD"
2011;;6.7;Dram;David Cronenberg;451;315 kullan?c? Cosmopolis filmini izledi;328 kullan?c?n?n favori filmi;109dk;"2012 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 Fransa
                                                                         ,                                                                                                                                                 ?talya
                                                                         ,                                                                                                                                                 Portekiz"
2014;;8.4;Dram;Nikhil Advani;357;583 kullan?c? Kal Ho Naa Ho filmini izledi;328 kullan?c?n?n favori filmi;186dk;"2003 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 Hindistan"
2020;;8.5;Dram;Bryan Singer;538;604 kullan?c? Bohemian Rhapsody filmini izledi;327 kullan?c?n?n favori filmi;135dk;"2018 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
2022;;8.4;Komedi;At?f Y?lmaz;514;745 kullan?c? ?ekerpare filmini izledi;327 kullan?c?n?n favori filmi;90dk;"1983 -
                            

                                                                                                                                                                                                            Türkiye"
2024;;6.3;Dram;Özcan Deniz;855;1393 kullan?c? Su ve Ate? filmini izledi;326 kullan?c?n?n favori filmi;113dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye
                                                                         ,                                                                                                                                                 ?ngiltere"
2025;;8.0;Aksiyon;John Frankenheimer;382;384 kullan?c? Ronin filmini izledi;326 kullan?c?n?n favori filmi;122dk;"1998 -
                            

                                                                                                                                                                                                            ABD"
2026;;6.1;Belgesel;"Mehmet Çelebi
                                        ,                                                                                                                     Tolga Örnek";392;65 kullan?c? Fenerbahçe: Bir Tutkunun Tarihi filmini izledi;326 kullan?c?n?n favori filmi;;"2007 -
                            

                                                                                                                                                                                                            Türkiye"
2033;;6.8;Aksiyon;Serdar Akar;736;776 kullan?c? Behzat Ç. Ankara Yan?yor filmini izledi;322 kullan?c?n?n favori filmi;97dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye"
2038;;7.3;Komedi;Yüksel Aksu;764;1207 kullan?c? Entelköy Efeköy'e Kar?? filmini izledi;321 kullan?c?n?n favori filmi;111dk;"2011 -
                            

                                                                                                                                                                                                            Türkiye"
2040;;8.4;Komedi;Kartal Tibet;572;997 kullan?c? Doktor Civan?m filmini izledi;321 kullan?c?n?n favori filmi;89dk;"1983 -
                            

                                                                                                                                                                                                            Türkiye"
2041;;8.3;Komedi;Natuk Baytan;563;979 kullan?c? Avanak Apdi filmini izledi;321 kullan?c?n?n favori filmi;84dk;"1978 -
                            

                                                                                                                                                                                                            Türkiye"
2042;;7.0;Gerilim;Luis Llosa;438;575 kullan?c? Anaconda filmini izledi;321 kullan?c?n?n favori filmi;89dk;"1997 -
                            

                                                                                                                                                                                                            Brezilya
                                                                         ,                                                                                                                                                 ABD"
2046;;8.0;Bilim Kurgu;Richard Donner;370;395 kullan?c? Superman filmini izledi;320 kullan?c?n?n favori filmi;143dk;"1978 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
2055;;6.2;Aksiyon;Ça?an Irmak;334;214 kullan?c? Bana ?ans Dile filmini izledi;319 kullan?c?n?n favori filmi;88dk;"2001 -
                            

                                                                                                                                                                                                            Türkiye"
2057;;7.2;Aksiyon;Christopher Nolan;540;801 kullan?c? Dunkirk filmini izledi;318 kullan?c?n?n favori filmi;107dk;"2017 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 Hollanda
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
2063;;7.3;Komedi;?ahin Alparslan;422;334 kullan?c? ?a?k?n filmini izledi;318 kullan?c?n?n favori filmi;90dk;"2006 -
                            

                                                                                                                                                                                                            Türkiye"
2067;;7.8;Dram;Handan ?pekçi;323;312 kullan?c? Büyük Adam Küçük A?k filmini izledi;317 kullan?c?n?n favori filmi;120dk;"2001 -
                            

                                                                                                                                                                                                            Macaristan
                                                                         ,                                                                                                                                                 Yunanistan
                                                                         ,                                                                                                                                                 Türkiye"
2077;;7.7;Dram;Semih Kaplano?lu;431;315 kullan?c? Bal filmini izledi;313 kullan?c?n?n favori filmi;103dk;"2010 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 Almanya
                                                                         ,                                                                                                                                                 Türkiye"
2078;;6.8;Dram;Mustafa Alt?oklar;555;787 kullan?c? O ?imdi Asker filmini izledi;313 kullan?c?n?n favori filmi;145dk;"2003 -
                            

                                                                                                                                                                                                            Türkiye"
2084;;8.3;Komedi;Kartal Tibet;504;642 kullan?c? Zübük filmini izledi;311 kullan?c?n?n favori filmi;79dk;"1980 -
                            

                                                                                                                                                                                                            Türkiye"
2086;;5.9;Gerilim;Cem Akyolda?;674;577 kullan?c? Konak filmini izledi;310 kullan?c?n?n favori filmi;101dk;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
2088;;7.3;Dram;Murat Saraço?lu;520;584 kullan?c? 72. Ko?u? filmini izledi;309 kullan?c?n?n favori filmi;;"2011 -
                            

                                                                                                                                                                                                            Türkiye"
2092;;7.6;Dram;Michael Cristofer;338;352 kullan?c? Gia filmini izledi;308 kullan?c?n?n favori filmi;120dk;"1998 -
                            

                                                                                                                                                                                                            ABD"
2093;;7.5;Dram;Hasan K?raç;1171;329 kullan?c? Birle?en Gönüller filmini izledi;307 kullan?c?n?n favori filmi;126dk;"2014 -
                            

                                                                                                                                                                                                            Türkiye"
2098;;8.1;Dram;Jeremy Leven;301;238 kullan?c? Don Juan De Marco filmini izledi;307 kullan?c?n?n favori filmi;97dk;"1994 -
                            

                                                                                                                                                                                                            ABD"
2101;;6.3;Korku;Alper Mestçi;727;1152 kullan?c? Musallat 2: Lanet filmini izledi;306 kullan?c?n?n favori filmi;90dk;"2011 -
                            

                                                                                                                                                                                                            Türkiye"
2103;;8.0;Aile;Todd Kessler;276;304 kullan?c? Keith filmini izledi;306 kullan?c?n?n favori filmi;93dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
2106;;7.1;Komedi;Hakan Algül;992;1322 kullan?c? Eyyvah Eyvah 3 filmini izledi;305 kullan?c?n?n favori filmi;105dk;"2014 -
                            

                                                                                                                                                                                                            Türkiye"
2113;;7.2;Komedi;K?vanç Baruönü;888;1263 kullan?c? Kocan Kadar Konu? filmini izledi;304 kullan?c?n?n favori filmi;108dk;"2015 -
                            

                                                                                                                                                                                                            Türkiye"
2115;;6.3;Korku;Ark?n Aktaç;602;564 kullan?c? Üç Harfliler: Marid filmini izledi;304 kullan?c?n?n favori filmi;80dk;"2010 -
                            

                                                                                                                                                                                                            Türkiye"
2119;;7.9;Dram;Nora Ephron;332;344 kullan?c? Julie & Julia filmini izledi;304 kullan?c?n?n favori filmi;123dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
2122;;7.8;Bilim Kurgu;Ryan Coogler;550;824 kullan?c? Black Panther filmini izledi;303 kullan?c?n?n favori filmi;138dk;"2018 -
                            

                                                                                                                                                                                                            ABD"
2126;;6.6;Komedi;Sermiyan Midyat;824;1342 kullan?c? Hükümet Kad?n 2 filmini izledi;302 kullan?c?n?n favori filmi;105dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye"
2128;;6.8;Komedi;Mustafa U?ur Ya?c?o?lu;511;360 kullan?c? Sizi Seviyorum filmini izledi;302 kullan?c?n?n favori filmi;98dk;"2009 -
                            

                                                                                                                                                                                                            Türkiye"
2131;;8.3;Dram;Ergin Orbey;536;932 kullan?c? Merakl? Köfteci filmini izledi;302 kullan?c?n?n favori filmi;79dk;"1976 -
                            

                                                                                                                                                                                                            Türkiye"
2132;;6.6;Dram;Sinan Çetin;456;362 kullan?c? Romantik filmini izledi;302 kullan?c?n?n favori filmi;112dk;"2007 -
                            

                                                                                                                                                                                                            Türkiye"
2139;;7.5;Dram;Onur Ünlü;437;531 kullan?c? Sen Ayd?nlat?rs?n Geceyi filmini izledi;299 kullan?c?n?n favori filmi;107dk;"2013 -
                            

                                                                                                                                                                                                            Türkiye"
