;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
45;Bad Company;3674841;3674841;116;2002;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
46;Bad Company;65977295;30160161;116;2002;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
47;Jane Eyre;5200601;5200601;120;2011;Multi Nation;Cary Fukunaga;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
48;Jane Eyre;34710627;11242660;120;2011;Multi Nation;Cary Fukunaga;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
49;Crash;2664812;2664812;112;2004;Multi Nation;Paul Haggis;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
50;Crash;98410061;54580300;112;2004;Multi Nation;Paul Haggis;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
51;Hercules;99112101;99112101;98;2014;ABD;Brett Ratner;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
52;Hercules;244819862;72688614;98;2014;ABD;Brett Ratner;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
53;Anna Karenina;858553;858553;130;2012;Multi Nation;Joe Wright;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
54;Anna Karenina;68929150;12816367;130;2012;Multi Nation;Joe Wright;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
55;Godzilla;379014294;136314294;123;2014;ABD;Gareth Edwards;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
56;Godzilla;524976069;200676069;123;2014;ABD;Gareth Edwards;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
57;Everest;87178599;87178599;121;2015;Multi Nation;Baltasar Kormákur;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
58;Everest;203427584;43482270;121;2015;Multi Nation;Baltasar Kormákur;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
59;Great Expectations;55494066;26420672;128;2012;Multi Nation;Mike Newell;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
60;The Avengers;23384939;23384939;145;2012;ABD;Joss Whedon;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
61;The Avengers;1518812988;623357910;145;2012;ABD;Joss Whedon;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
62;Twilight;15055091;15055091;122;2008;ABD;Catherine Hardwicke;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
63;Twilight;407187715;192769854;122;2008;ABD;Catherine Hardwicke;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
64;Les Misérables;14096321;14096321;158;2012;Multi Nation;Tom Hooper;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
65;Les Misérables;442299309;148809770;158;2012;Multi Nation;Tom Hooper;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
