;Unnamed: 0;Name;Duration;Year;Country;Worldwide;Scenarist;Date;Month;Season;Director;Top_Director;Director_Category;DirectorRevenueRange;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Western
932;1114;Jurassic Park III;92;2001;ABD;368780809;"Alexander Payne
                                        ";24 A?ustos 2001;A?ustos;summer;Joe Johnston;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
933;1116;Megamind;96;2010;ABD;321885765;"Alan J. Schoolcraft
                                        ";14 Ocak 2011;Ocak;winter;Tom McGrath;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
934;1117;Ice Princess;98;2005;Multi Nation;27645491;"Meg Cabot
                                        ";22 Temmuz 2005;Temmuz;summer;Tim Fywell;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
937;1121;Elizabeth: The Golden Age;114;2007;Multi Nation;75782758;"William Nicholson
                                        ";23 Kas?m 2007;Kas?m;autumn;Shekhar Kapur;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
938;1122;Maleficent;97;2014;ABD;758410378;"Linda Woolverton
                                        ";30 May?s 2014;May?s;spring;Robert Stromberg;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
939;1123;Super 8;112;2011;ABD;260095986;J.J. Abrams;17 Haziran 2011;Haziran;summer;J.J. Abrams;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
945;1131;The Hunger Games: Mockingjay - Part 1;123;2014;Multi Nation;755356711;"Suzanne Collins
                                        ";21 Kas?m 2014;Kas?m;autumn;Francis Lawrence;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
948;1136;Munich;164;2005;Multi Nation;130982129;"Eric Roth
                                        ";27 Ocak 2006;Ocak;winter;Steven Spielberg;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
949;1137;Chicken Run;84;2000;Multi Nation;224834564;"Peter Lord
                                        ";1 Aral?k 2000;Aral?k;winter;Peter Lord;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
950;1138;The Spy Next Door;94;2010;ABD;45236543;"James Greer
                                        ";23 Nisan 2010;Nisan;spring;Brian Levant;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
951;1139;The Passion Of The Christ;127;2004;ABD;611486736;"Mel Gibson
                                        ";9 Nisan 2004;Nisan;spring;Mel Gibson;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
952;1140;How the Grinch Stole Christmas;104;2000;Multi Nation;345141403;Dr. Seuss;26 Ocak 2001;Ocak;winter;Ron Howard;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
953;1141;John Q;116;2002;ABD;102244770;James Kearns;17 May?s 2002;May?s;spring;Nick Cassavetes;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
954;1142;Dawn of the Planet of the Apes;130;2014;ABD;710644566;Mark Bomback;11 Temmuz 2014;Temmuz;summer;Matt Reeves;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
955;1143;Brave;93;2012;ABD;538983207;"Steve Purcell
                                        ";7 Eylül 2012;Eylül;autumn;Brenda Chapman;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
956;1144;Jack Reacher;130;2012;ABD;218340595;Christopher McQuarrie;21 Aral?k 2012;Aral?k;winter;Christopher McQuarrie;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
958;1147;Hanna;111;2011;Multi Nation;63782078;"Joe Wright
                                        ";10 Haziran 2011;Haziran;summer;Joe Wright;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
959;1148;Shanghai Knights;115;2003;Multi Nation;88323487;"Alfred Gough
                                        ";15 A?ustos 2003;A?ustos;summer;David Dobkin;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
961;1150;Passengers;116;2016;ABD;303144152;Jon Spaihts;13 Ocak 2017;Ocak;winter;Morten Tyldum;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
963;1154;The Experiment;96;2010;ABD;11455141;"Oliver Hirschbiegel
                                        ";31 Aral?k 2010;Aral?k;winter;Paul Scheuring;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
964;1155;Unstoppable;98;2010;ABD;167805466;Mark Bomback;12 Kas?m 2010;Kas?m;autumn;Tony Scott;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
966;1157;Untraceable;101;2008;ABD;52933513;"Robert Fyvolent
                                        ";20 Haziran 2008;Haziran;summer;Gregory Hoblit;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
967;1159;The Wrestler;109;2008;Multi Nation;44734660;Robert D. Siegel;20 Mart 2009;Mart;spring;Darren Aronofsky;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
968;1160;Jersey Girl;102;2004;ABD;35492921;Kevin Smith;26 Mart 2004;Mart;spring;Kevin Smith;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
969;1161;Superman Returns;154;2006;ABD;391081192;"Michael Dougherty
                                        ";21 Temmuz 2006;Temmuz;summer;Bryan Singer;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
970;1162;The Last Castle;131;2001;ABD;27642707;"Graham Yost
                                        ";4 Ocak 2002;Ocak;winter;Rod Lurie;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
971;1163;The Theory of Everything;123;2014;?ngiltere;123726688;Anthony McCarten;27 ?ubat 2015;?ubat;winter;James Marsh;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
972;1164;Taxi 3;82;2003;Fransa;65497208;Luc Besson;9 May?s 2003;May?s;spring;Gérard Krawczyk;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
973;1166;The Ruins;91;2008;Multi Nation;22818256;Scott B. Smith;11 Nisan 2008;Nisan;spring;Carter Smith;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
974;1167;The Pink Panther 2;92;2009;ABD;76025134;"Blake Edwards
                                        ";17 Nisan 2009;Nisan;spring;Harald Zwart;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
978;1172;The Girl With The Dragon Tattoo;158;2011;Multi Nation;104414200;"Nikolaj Arcel
                                        ";17 Eylül 2010;Eylül;autumn;David Fincher;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
983;1178;Aquamarine;104;2006;Multi Nation;22989957;"John Quaintance
                                        ";16 Haziran 2006;Haziran;summer;Elizabeth Allen;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
984;1180;Reign Over Me;124;2007;ABD;22242388;Mike Binder;23 Mart 2007;Mart;spring;Mike Binder;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
987;1183;Son Of The Mask;96;2005;Multi Nation;59981548;Lance Khazei;9 Eylül 2005;Eylül;autumn;Lawrence Guterman;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
988;1184;Elysium;109;2013;ABD;286140700;Neill Blomkamp;9 A?ustos 2013;A?ustos;summer;Neill Blomkamp;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
989;1185;The Bourne Legacy;135;2012;ABD;276144750;Tony Gilroy;31 A?ustos 2012;A?ustos;summer;Tony Gilroy;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
990;1187;Seed of Chucky;86;2004;ABD;24829644;Don Mancini;11 ?ubat 2005;?ubat;winter;Don Mancini;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
991;1188;Legend of the Guardians: The Owls of Ga'Hoole;97;2010;Multi Nation;140073390;"John Orloff
                                        ";1 Ekim 2010;Ekim;autumn;Zack Snyder;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
996;1194;Split;117;2016;ABD;278454358;M. Night Shyamalan;17 ?ubat 2017;?ubat;winter;M. Night Shyamalan;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
998;1196;The Mexican;123;2001;Multi Nation;147845033;J.H. Wyman;6 Temmuz 2001;Temmuz;summer;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
999;1197;The Grand Budapest Hotel;100;2014;Multi Nation;172936941;Wes Anderson;11 Nisan 2014;Nisan;spring;Wes Anderson;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1000;1198;Peter Pan;113;2003;Multi Nation;121975011;"Michael Goldenberg
                                        ";23 Nisan 2004;Nisan;spring;P.J. Hogan;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1002;1200;About Time;123;2013;?ngiltere;87100449;Richard Curtis;4 Ekim 2013;Ekim;autumn;Richard Curtis;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1004;1202;The Invasion;99;2007;Multi Nation;40170558;David Kajganich;19 Ekim 2007;Ekim;autumn;Oliver Hirschbiegel;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1005;1203;Race To Witch Mountain;98;2009;ABD;106387141;"Mark Bomback
                                        ";20 Mart 2009;Mart;spring;Andy Fickman;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1007;1205;The Rite;114;2011;Multi Nation;96560591;"Michael Petroni
                                        ";11 ?ubat 2011;?ubat;winter;Mikael Håfström;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1010;1208;Edge Of Darkness;117;2010;Multi Nation;81126522;"William Monahan
                                        ";29 Ocak 2010;Ocak;winter;Martin Campbell;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1012;1210;Meet Dave;90;2008;ABD;51339567;"Rob Greenberg
                                        ";11 Temmuz 2008;Temmuz;summer;Brian Robbins;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1014;1214;Miss Congeniality;111;2000;ABD;212742720;"Katie Ford
                                        ";13 Nisan 2001;Nisan;spring;Donald Petrie;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1015;1216;Accepted;93;2006;ABD;38623262;"Adam Cooper
                                        ";18 A?ustos 2006;A?ustos;summer;Steve Pink;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1016;1218;Despicable Me 2;111;2013;ABD;970766005;"Ken Daurio
                                        ";4 Ekim 2013;Ekim;autumn;Pierre Coffin;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
1017;1219;Colombiana;108;2011;Fransa;63458440;"Luc Besson
                                        ";26 A?ustos 2011;A?ustos;summer;Olivier Megaton;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1018;1220;Frozen;93;2010;ABD;1280802282;Adam Green;28 May?s 2010;May?s;spring;Adam Green;0;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0
1020;1222;Green Zone;115;2010;Multi Nation;94882549;"Brian Helgeland
                                        ";30 Nisan 2010;Nisan;spring;Paul Greengrass;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1021;1223;Funny People;146;2009;ABD;71585235;Judd Apatow;2 Ekim 2009;Ekim;autumn;Judd Apatow;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1023;1227;Looper;118;2012;ABD;176506819;Rian Johnson;12 Ekim 2012;Ekim;autumn;Rian Johnson;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1024;1228;Romeo Must Die;115;2000;ABD;91036760;"Mitchell Kapner
                                        ";28 Temmuz 2000;Temmuz;summer;Andrzej Bartkowiak;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1025;1229;Material Girls;97;2006;ABD;16907725;"John Quaintance
                                        ";14 Mart 2007;Mart;spring;Martha Coolidge;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1027;1234;Joker;122;2019;Multi Nation;1078751311;"Todd Phillips
                                        ";4 Ekim 2019;Ekim;autumn;Todd Phillips;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1028;1235;21 Jump Street;109;2012;ABD;201585328;"Patrick Hasburgh
                                        ";8 Haziran 2012;Haziran;summer;Chris Miller;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1029;1236;47 Ronin;119;2013;Multi Nation;151783839;"Chris Morgan
                                        ";27 Aral?k 2013;Aral?k;winter;Carl Rinsch;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1032;1239;Honey;94;2003;ABD;62228395;"Alonzo Brown
                                        ";6 A?ustos 2004;A?ustos;summer;Bille Woodruff;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
